Term , Document , Weight
inshort , 938 , 1.0
inshort , 157 , 1.0
mostpublicized , 986 , 1.0
serious , 170 , 1.0
serious , 1082 , 1.0
serious , 549 , 1.0
serious , 1039 , 1.0
serious , 642 , 1.0
serious , 479 , 1.0
serious , 560 , 1.0
serious , 308 , 1.0
serious , 1399 , 1.0
serious , 1016 , 1.0
serious , 1206 , 1.0
serious , 28 , 1.0
reconpilot , 858 , 1.0
tooccur , 367 , 1.0
ofall , 371 , 1.0
ofall , 617 , 1.0
ofall , 1196 , 1.0
acronym , 92 , 1.0
breaks , 1186 , 1.0
precious , 1200 , 1.0
prescribedlist , 825 , 1.0
sectors , 104 , 1.0
seriousattempt , 373 , 1.0
embedded , 349 , 1.0
filesare , 567 , 1.0
asreported , 17 , 1.0
haveimproved , 323 , 1.0
electronicnetwork , 724 , 1.0
pioneeringthrust , 1379 , 1.0
myprevious , 1069 , 1.0
itsown , 933 , 1.0
thehistory , 749 , 1.0
thehistory , 308 , 1.0
picturephone , 400 , 2.0
rate , 997 , 1.0
rate , 475 , 1.0
rate , 33 , 1.0
rate , 1118 , 1.0
rate , 613 , 1.0
rate , 1427 , 1.0
rate , 253 , 3.0
rate , 527 , 1.0
rate , 784 , 1.0
rate , 1432 , 1.0
rate , 281 , 2.0
rate , 605 , 2.0
rate , 808 , 2.0
rate , 106 , 1.0
rate , 1286 , 2.0
rate , 1417 , 5.0
rate , 1168 , 1.0
rate , 348 , 2.0
rate , 658 , 1.0
rate , 391 , 2.0
rate , 122 , 1.0
rate , 1244 , 1.0
rate , 867 , 1.0
rate , 1040 , 1.0
rate , 371 , 1.0
rate , 791 , 1.0
rate , 587 , 1.0
rate , 994 , 2.0
rate , 800 , 1.0
rate , 700 , 1.0
rate , 327 , 1.0
rate , 1151 , 1.0
inevitable , 343 , 1.0
inevitable , 706 , 1.0
inevitable , 908 , 1.0
inevitable , 785 , 1.0
inevitable , 1414 , 1.0
inevitable , 947 , 1.0
inevitable , 369 , 1.0
theincorporation , 98 , 1.0
nonetheless , 1020 , 1.0
perceives , 939 , 1.0
closelycopied , 947 , 1.0
thetechnical , 865 , 1.0
45 , 1374 , 1.0
45 , 598 , 1.0
45 , 820 , 1.0
unprecedentedrate , 916 , 1.0
acceptanceof , 1050 , 1.0
inductive , 449 , 1.0
inductive , 552 , 1.0
submitted , 858 , 1.0
submitted , 1091 , 1.0
submitted , 1071 , 1.0
submitted , 861 , 1.0
submitted , 484 , 1.0
submitted , 1335 , 1.0
submitted , 819 , 1.0
submitted , 1062 , 1.0
